iter	Passed	Remaining
0	229	114273
1	352	87829
2	530	87916
3	667	82761
4	763	75610
5	849	69973
6	928	65427
7	1011	62227
8	1107	60403
9	1266	62065
10	1392	61904
11	1520	61836
12	1634	61224
13	1766	61314
14	1934	62538
15	2060	62330
16	2138	60771
17	2215	59336
18	2297	58155
19	2373	56953
20	2450	55892
21	2532	55029
22	2615	54253
23	2718	53926
24	2851	54176
25	2977	54284
26	3066	53723
27	3153	53158
28	3238	52592
29	3307	51819
30	3392	51329
31	3472	50790
32	3557	50345
33	3676	50391
34	3766	50043
35	3858	49737
36	3965	49623
37	4066	49440
38	4211	49783
39	4294	49383
40	4395	49205
41	4480	48855
42	4574	48620
43	4661	48314
44	4746	47996
45	4828	47654
46	4910	47332
47	4990	46997
48	5150	47410
49	5293	47640
50	5372	47302
51	5484	47247
52	5657	47713
53	5732	47342
54	5814	47046
55	5927	46999
56	6117	47547
57	6258	47695
58	6391	47770
59	6478	47508
60	6557	47195
61	6632	46857
62	6705	46515
63	6823	46483
64	6940	46450
65	7050	46363
66	7127	46064
67	7203	45762
68	7273	45430
69	7365	45246
70	7481	45203
71	7580	45061
72	7671	44872
73	7816	44999
74	7945	45023
75	8040	44857
76	8141	44724
77	8264	44710
78	8392	44725
79	8536	44817
80	8755	45291
81	8877	45252
82	8952	44979
83	9043	44784
84	9120	44528
85	9205	44317
86	9388	44567
87	9491	44437
88	9615	44405
89	9658	44000
90	9763	43879
91	9839	43636
92	9920	43416
93	10009	43233
94	10093	43030
95	10168	42791
96	10254	42603
97	10367	42529
98	10472	42418
99	10593	42375
100	10681	42198
101	10761	41991
102	10848	41815
103	11020	41962
104	11156	41970
105	11231	41746
106	11312	41550
107	11400	41379
108	11488	41212
109	11569	41017
110	11676	40920
111	11750	40708
112	11849	40582
113	11933	40407
114	12008	40202
115	12148	40215
116	12307	40287
117	12484	40415
118	12639	40468
119	12781	40473
120	12848	40244
121	12952	40130
122	13034	39950
123	13113	39763
124	13240	39721
125	13378	39711
126	13588	39910
127	13733	39913
128	13897	39969
129	14049	39986
130	14240	40111
131	14397	40139
132	14558	40172
133	14738	40256
134	14911	40316
135	15064	40320
136	15222	40333
137	15392	40376
138	15530	40334
139	15669	40292
140	15804	40240
141	15976	40279
142	16112	40225
143	16281	40251
144	16460	40299
145	16601	40253
146	16728	40169
147	16873	40132
148	17004	40058
149	17189	40107
150	17344	40086
151	17473	40003
152	17589	39891
153	17753	39886
154	17948	39950
155	18097	39906
156	18215	39794
157	18380	39785
158	18578	39844
159	18726	39794
160	18926	39851
161	19126	39905
162	19277	39856
163	19372	39689
164	19458	39507
165	19565	39366
166	19655	39193
167	19733	38996
168	19809	38798
169	19890	38611
170	20018	38515
171	20137	38401
172	20232	38243
173	20313	38058
174	20394	37876
175	20479	37701
176	20561	37521
177	20670	37393
178	20779	37264
179	20989	37315
180	21183	37335
181	21262	37150
182	21336	36959
183	21425	36795
184	21575	36737
185	21768	36748
186	21864	36596
187	21947	36422
188	22050	36284
189	22180	36188
190	22310	36094
191	22406	35944
192	22552	35874
193	22655	35735
194	22768	35612
195	22880	35488
196	22967	35326
197	23084	35210
198	23195	35084
199	23284	34926
200	23391	34796
201	23488	34650
202	23636	34581
203	23756	34469
204	23839	34305
205	23922	34141
206	24021	34001
207	24125	33868
208	24215	33716
209	24300	33558
210	24383	33397
211	24532	33327
212	24661	33228
213	24810	33158
214	24895	33001
215	24977	32841
216	25053	32673
217	25141	32522
218	25213	32352
219	25331	32240
220	25411	32079
221	25539	31982
222	25609	31810
223	25700	31666
224	25783	31512
225	25870	31365
226	25975	31238
227	26100	31137
228	26175	30976
229	26266	30834
230	26353	30688
231	26473	30581
232	26598	30479
233	26721	30375
234	26809	30232
235	26898	30089
236	26987	29948
237	27081	29812
238	27172	29673
239	27265	29537
240	27359	29403
241	27433	29246
242	27518	29104
243	27629	28988
244	27760	28894
245	27860	28766
246	27957	28636
247	28094	28547
248	28170	28396
249	28252	28252
250	28362	28136
251	28513	28061
252	28639	27960
253	28768	27862
254	28863	27731
255	28945	27588
256	29018	27437
257	29127	27321
258	29205	27175
259	29335	27079
260	29484	26999
261	29645	26929
262	29779	26835
263	29888	26718
264	29972	26579
265	30048	26433
266	30142	26304
267	30252	26188
268	30336	26051
269	30426	25918
270	30517	25788
271	30598	25648
272	30683	25513
273	30776	25384
274	30872	25259
275	30960	25127
276	31069	25012
277	31188	24906
278	31267	24767
279	31378	24654
280	31547	24586
281	31673	24485
282	31819	24398
283	32000	24338
284	32115	24227
285	32198	24092
286	32283	23959
287	32361	23821
288	32455	23696
289	32549	23570
290	32665	23460
291	32801	23365
292	32885	23233
293	32981	23109
294	33063	22976
295	33149	22846
296	33242	22721
297	33347	22604
298	33451	22487
299	33535	22356
300	33618	22226
301	33721	22108
302	33800	21975
303	33889	21849
304	33966	21716
305	34091	21613
306	34179	21487
307	34263	21359
308	34345	21229
309	34445	21111
310	34576	21013
311	34710	20915
312	34817	20801
313	34915	20682
314	34988	20548
315	35069	20420
316	35148	20291
317	35296	20201
318	35381	20075
319	35472	19953
320	35517	19805
321	35607	19683
322	35690	19557
323	35782	19437
324	35863	19311
325	35975	19201
326	36066	19081
327	36165	18964
328	36314	18874
329	36448	18776
330	36612	18693
331	36774	18609
332	36901	18506
333	37070	18424
334	37235	18339
335	37398	18254
336	37638	18204
337	37776	18105
338	37857	17979
339	37985	17875
340	38160	17793
341	38286	17687
342	38451	17600
343	38704	17552
344	38852	17455
345	38933	17328
346	39021	17205
347	39112	17083
348	39207	16963
349	39277	16833
350	39350	16704
351	39460	16591
352	39630	16503
353	39820	16423
354	39957	16320
355	40033	16193
356	40113	16067
357	40260	15969
358	40434	15880
359	40567	15776
360	40707	15674
361	40829	15564
362	40938	15450
363	41029	15329
364	41099	15201
365	41221	15092
366	41332	14978
367	41493	14883
368	41643	14784
369	41745	14667
370	41827	14543
371	41926	14426
372	42046	14316
373	42179	14210
374	42327	14109
375	42475	14007
376	42677	13923
377	42817	13819
378	42984	13723
379	43148	13625
380	43306	13526
381	43418	13411
382	43581	13313
383	43758	13218
384	43895	13111
385	44071	13015
386	44210	12908
387	44316	12792
388	44415	12673
389	44560	12568
390	44721	12467
391	44821	12348
392	44906	12226
393	45005	12108
394	45089	11985
395	45192	11868
396	45292	11751
397	45402	11635
398	45539	11527
399	45693	11423
400	45789	11304
401	45922	11194
402	46067	11088
403	46214	10981
404	46330	10867
405	46412	10745
406	46493	10623
407	46602	10508
408	46764	10404
409	46867	10288
410	46988	10175
411	47163	10073
412	47256	9954
413	47353	9836
414	47426	9713
415	47531	9597
416	47615	9477
417	47690	9355
418	47770	9234
419	47860	9116
420	47935	8994
421	48027	8877
422	48102	8756
423	48178	8635
424	48256	8515
425	48341	8397
426	48428	8279
427	48515	8161
428	48602	8043
429	48688	7926
430	48768	7807
431	48890	7695
432	49036	7587
433	49127	7471
434	49221	7355
435	49313	7238
436	49407	7122
437	49551	7014
438	49695	6905
439	49780	6788
440	49850	6669
441	50030	6565
442	50131	6450
443	50207	6332
444	50360	6224
445	50462	6109
446	50534	5991
447	50619	5875
448	50792	5769
449	50900	5655
450	50972	5538
451	51039	5420
452	51078	5299
453	51132	5180
454	51215	5065
455	51290	4949
456	51407	4837
457	51567	4728
458	51712	4619
459	51796	4504
460	51892	4390
461	51975	4275
462	52051	4159
463	52143	4045
464	52243	3932
465	52325	3817
466	52405	3703
467	52492	3589
468	52571	3474
469	52692	3363
470	52809	3251
471	52915	3139
472	52996	3025
473	53130	2914
474	53309	2805
475	53416	2693
476	53502	2579
477	53633	2468
478	53814	2359
479	53974	2248
480	54064	2135
481	54173	2023
482	54275	1910
483	54374	1797
484	54498	1685
485	54632	1573
486	54749	1461
487	54920	1350
488	55081	1239
489	55187	1126
490	55321	1014
491	55480	902
492	55590	789
493	55679	676
494	55784	563
495	55931	451
496	56039	338
497	56125	225
498	56236	112
499	56374	0
